,date,new_confirmed
0,2020-03-28,1
1,2020-03-29,0
2,2020-03-30,0
3,2020-03-31,0
4,2020-04-01,0
5,2020-04-02,0
6,2020-04-03,1
7,2020-04-04,0
8,2020-04-05,0
9,2020-04-06,0
10,2020-04-07,1
11,2020-04-08,0
12,2020-04-09,0
13,2020-04-10,5
14,2020-04-11,0
15,2020-04-12,2
16,2020-04-13,1
17,2020-04-14,0
18,2020-04-15,4
19,2020-04-16,0
20,2020-04-17,0
21,2020-04-18,0
22,2020-04-19,0
23,2020-04-20,4
24,2020-04-21,6
25,2020-04-22,6
26,2020-04-23,0
27,2020-04-24,14
28,2020-04-25,0
29,2020-04-26,13
30,2020-04-27,0
31,2020-04-28,0
32,2020-04-29,9
33,2020-04-30,0
34,2020-05-01,11
35,2020-05-02,10
36,2020-05-03,0
37,2020-05-04,1
38,2020-05-05,12
